"Id","MSSubClass","MSZoning","LotFrontage","LotArea","Street","Alley","LotShape","LandContour","Utilities","LotConfig","LandSlope","Neighborhood","Condition1","Condition2","BldgType","HouseStyle","OverallQual","OverallCond","YearBuilt","YearRemodAdd","RoofStyle","RoofMatl","Exterior1st","Exterior2nd","MasVnrType","MasVnrArea","ExterQual","ExterCond","Foundation","BsmtQual","BsmtCond","BsmtExposure","BsmtFinType1","BsmtFinSF1","BsmtFinType2","BsmtFinSF2","BsmtUnfSF","TotalBsmtSF","Heating","HeatingQC","CentralAir","Electrical","X1stFlrSF","X2ndFlrSF","LowQualFinSF","GrLivArea","BsmtFullBath","BsmtHalfBath","FullBath","HalfBath","BedroomAbvGr","KitchenAbvGr","KitchenQual","TotRmsAbvGrd","Functional","Fireplaces","FireplaceQu","GarageType","GarageYrBlt","GarageFinish","GarageCars","GarageArea","GarageQual","GarageCond","PavedDrive","WoodDeckSF","OpenPorchSF","EnclosedPorch","X3SsnPorch","ScreenPorch","PoolArea","PoolQC","Fence","MiscFeature","MiscVal","MoSold","YrSold","SaleType","SaleCondition","Condition.Feedr","Condition.Norm","Condition.PosN","Condition.RRNe","Condition.Artery","Condition.RRNn","Condition.PosA","Condition.RRAn","Condition.RRAe"
1509,60,"RL",80,9600,"Pave","None","Reg","Lvl","AllPub","Inside","Gtl","NWAmes","Norm","Norm","1Fam","2Story",6,6,1971,1971,"Gable","CompShg","MetalSd","MetalSd","None",0,"2","2","CBlock","2","2","0","ALQ",329,"Unf",0,386,715,"GasA","TA","Y","3",930,715,0,1645,0,0,1,2,4,1,"2",7,"0",0,"-1","Attchd","1971","RFn",2,441,"2","2","2",0,78,0,0,0,0,"-1","GdWo","None",0,6,2010,"WD","Normal",0,2,0,0,0,0,0,0,0
1510,20,"RL",80,9600,"Pave","None","Reg","Lvl","AllPub","Inside","Gtl","NAmes","Norm","Norm","1Fam","1Story",5,5,1966,1966,"Hip","CompShg","VinylSd","VinylSd","BrkFace",172,"2","2","CBlock","2","2","0","Rec",698,"Unf",0,534,1232,"GasA","TA","Y","3",1232,0,0,1232,1,0,1,1,3,1,"2",6,"0",0,"-1","Attchd","1966","RFn",2,490,"2","2","2",0,224,0,0,0,0,"-1","None","None",0,4,2010,"WD","Normal",0,2,0,0,0,0,0,0,0
1511,20,"RL",90,9900,"Pave","None","Reg","Lvl","AllPub","Corner","Gtl","NAmes","Norm","Norm","1Fam","1Story",5,5,1966,1966,"Hip","CompShg","HdBoard","HdBoard","None",0,"2","2","PConc","3","2","0","BLQ",1059,"Unf",0,150,1209,"GasA","Gd","Y","3",1209,0,0,1209,1,0,1,0,3,1,"2",6,"0",0,"-1","Attchd","1966","RFn",2,504,"2","2","2",0,0,120,0,0,0,"-1","None","None",0,4,2010,"ConLD","Normal",0,2,0,0,0,0,0,0,0
1512,20,"RL",88,9680,"Pave","None","Reg","Lvl","AllPub","Inside","Gtl","NAmes","Norm","Norm","1Fam","1Story",5,6,1967,1967,"Gable","CompShg","Wd Sdng","Plywood","BrkFace",268,"2","2","CBlock","2","2","0","BLQ",1010,"Unf",0,500,1510,"GasA","Ex","Y","3",1510,0,0,1510,1,0,2,0,3,1,"3",6,"0",0,"-1","Attchd","1967","RFn",2,517,"2","2","2",0,40,0,0,204,0,"-1","GdPrv","None",0,4,2010,"WD","Normal",0,2,0,0,0,0,0,0,0
1513,80,"RL",NA,10600,"Pave","Pave","IR1","Lvl","AllPub","Inside","Gtl","NAmes","Norm","Norm","1Fam","SLvl",6,5,1964,1964,"Gable","CompShg","HdBoard","HdBoard","None",0,"2","2","CBlock","2","2","0","Unf",0,"Unf",0,533,533,"GasA","TA","Y","3",1131,644,0,1775,0,0,2,0,3,1,"2",8,"0",0,"-1","Attchd","1964","Unf",2,480,"2","2","2",0,172,0,0,0,0,"-1","None","None",0,5,2010,"COD","Family",0,2,0,0,0,0,0,0,0
1514,90,"RL",98,13260,"Pave","None","IR1","Lvl","AllPub","Inside","Gtl","NAmes","Norm","Norm","Duplex","1Story",5,6,1962,2001,"Hip","CompShg","HdBoard","HdBoard","BrkFace",144,"2","2","CBlock","2","2","0","BLQ",1500,"Unf",0,228,1728,"GasA","TA","Y","3",1728,0,0,1728,2,0,2,0,6,2,"2",10,"0",0,"-1","None","None","None",0,0,"-1","-1","2",0,0,0,0,0,0,"-1","None","None",0,1,2010,"Oth","Abnorml",0,2,0,0,0,0,0,0,0
1515,50,"RL",68,9724,"Pave","None","Reg","Lvl","AllPub","Inside","Gtl","NAmes","Norm","Norm","1Fam","1.5Fin",5,7,1952,2002,"Gable","CompShg","MetalSd","MetalSd","BrkFace",265,"3","2","CBlock","2","2","0","LwQ",670,"Unf",0,470,1140,"GasA","Gd","Y","3",1929,532,0,2461,0,0,2,0,3,1,"2",7,"2",2,"3","Detchd","1994","Unf",2,400,"2","2","2",0,0,0,0,0,0,"-1","GdWo","None",0,3,2010,"WD","Normal",0,2,0,0,0,0,0,0,0
1516,50,"RL",120,17360,"Pave","None","Reg","Lvl","AllPub","Corner","Gtl","NAmes","Artery","Norm","1Fam","1.5Fin",6,6,1949,1950,"Gable","CompShg","MetalSd","MetalSd","Stone",340,"2","3","CBlock","2","2","0","Rec",300,"Unf",0,482,782,"GasA","TA","Y","3",1019,537,0,1556,0,0,2,0,3,1,"2",6,"0",1,"3","Attchd","1949","Unf",2,470,"2","2","2",0,0,150,0,0,0,"-1","None","None",0,1,2010,"WD","Normal",0,1,0,0,1,0,0,0,0
1517,85,"RL",75,11380,"Pave","None","IR1","Lvl","AllPub","Inside","Gtl","NAmes","Norm","Norm","1Fam","SFoyer",6,8,1966,2008,"Gable","CompShg","HdBoard","HdBoard","BrkFace",216,"2","2","CBlock","2","2","3","GLQ",944,"Unf",0,136,1080,"GasA","Gd","Y","3",1128,0,0,1128,1,0,1,0,2,1,"3",5,"0",1,"3","Attchd","1966","Unf",1,315,"2","2","2",238,0,0,0,0,0,"-1","None","Shed",1500,1,2010,"WD","Normal",0,2,0,0,0,0,0,0,0
1518,90,"RL",70,8267,"Pave","None","Reg","Lvl","AllPub","Corner","Gtl","NAmes","Feedr","Norm","Duplex","1Story",5,5,1958,1958,"Gable","CompShg","HdBoard","HdBoard","None",0,"2","2","CBlock","2","2","0","Unf",0,"Unf",0,1604,1604,"GasA","TA","Y","3",1604,0,0,1604,0,0,2,0,4,2,"2",8,"0",0,"-1","Attchd","1958","Unf",2,576,"2","2","2",42,0,0,0,0,0,"-1","None","None",0,3,2010,"WD","Normal",1,1,0,0,0,0,0,0,0
1519,20,"RL",70,8197,"Pave","None","Reg","Lvl","AllPub","Inside","Gtl","NAmes","Norm","Norm","1Fam","1Story",7,5,2003,2009,"Gable","CompShg","VinylSd","VinylSd","BrkFace",506,"3","2","PConc","3","2","0","GLQ",1188,"Unf",0,292,1480,"GasA","Ex","Y","3",1480,0,0,1480,1,0,2,0,3,1,"3",7,"0",0,"-1","Attchd","2003","RFn",2,620,"2","2","2",252,73,0,0,0,0,"-1","MnPrv","Shed",300,2,2010,"WD","Normal",0,2,0,0,0,0,0,0,0
1520,20,"RL",NA,8050,"Pave","None","IR1","Lvl","AllPub","Inside","Gtl","NAmes","Norm","Norm","1Fam","1Story",5,5,1959,1959,"Hip","CompShg","MetalSd","MetalSd","BrkFace",150,"2","2","CBlock","2","2","0","BLQ",856,"Rec",162,125,1143,"GasA","TA","Y","3",1143,0,0,1143,1,0,1,0,3,1,"2",6,"0",0,"-1","Attchd","1959","RFn",1,308,"2","2","2",0,0,0,0,0,0,"-1","GdPrv","None",0,5,2010,"WD","Normal",0,2,0,0,0,0,0,0,0
1521,20,"RL",87,10725,"Pave","None","IR1","Lvl","AllPub","Inside","Gtl","NAmes","Norm","Norm","1Fam","1Story",5,5,1959,1959,"Hip","CompShg","MetalSd","MetalSd","BrkFace",91,"2","2","CBlock","2","2","0","Rec",936,"Unf",0,270,1206,"GasA","Fa","Y","3",1206,0,0,1206,0,0,1,0,3,1,"2",6,"0",0,"-1","Attchd","1959","RFn",1,312,"2","2","2",0,21,0,0,0,0,"-1","None","None",0,5,2010,"WD","Normal",0,2,0,0,0,0,0,0,0
1522,20,"RL",80,10032,"Pave","None","Reg","Lvl","AllPub","Inside","Gtl","NAmes","Norm","Norm","1Fam","1Story",6,5,1959,1959,"Gable","CompShg","Wd Sdng","Wd Sdng","Stone",432,"2","2","CBlock","2","2","0","Rec",734,"Unf",0,510,1244,"GasA","Ex","Y","3",1580,0,0,1580,1,0,1,1,3,1,"2",6,"0",2,"3","Attchd","1956","Unf",2,440,"2","2","2",0,28,0,0,160,0,"-1","GdWo","None",0,6,2010,"WD","Normal",0,2,0,0,0,0,0,0,0
1523,50,"RL",60,8382,"Pave","None","Reg","Lvl","AllPub","Inside","Gtl","NAmes","Norm","Norm","1Fam","1.5Fin",4,5,1956,1956,"Gable","CompShg","MetalSd","MetalSd","None",0,"2","2","CBlock","2","2","0","Unf",0,"Unf",0,832,832,"GasA","TA","Y","2",832,505,0,1337,0,0,1,0,3,1,"2",5,"0",0,"-1","Attchd","1956","Unf",1,263,"2","2","2",0,0,0,0,0,0,"-1","None","None",0,2,2010,"WD","Normal",0,2,0,0,0,0,0,0,0
1524,20,"RL",60,10950,"Pave","None","Reg","Lvl","AllPub","Inside","Gtl","NAmes","Norm","Norm","1Fam","1Story",5,7,1952,1952,"Gable","CompShg","WdShing","Wd Shng","None",0,"2","2","CBlock","2","2","0","BLQ",339,"Unf",0,525,864,"GasA","TA","Y","3",1064,0,0,1064,0,1,1,0,2,1,"1",4,"0",0,"-1","Detchd","1952","Unf",1,318,"2","2","2",0,0,0,0,0,0,"-1","None","None",0,5,2010,"WD","Normal",0,2,0,0,0,0,0,0,0
1525,20,"RL",119,10895,"Pave","None","Reg","Lvl","AllPub","Corner","Gtl","NAmes","Norm","Norm","1Fam","1Story",5,6,1955,1955,"Gable","CompShg","MetalSd","MetalSd","None",0,"2","3","CBlock","2","2","0","Rec",648,"Unf",0,324,972,"GasA","TA","Y","3",972,0,0,972,0,0,1,0,3,1,"2",5,"0",0,"-1","Attchd","1955","Unf",1,305,"2","2","2",0,0,205,0,0,0,"-1","GdWo","None",0,6,2010,"WD","Normal",0,2,0,0,0,0,0,0,0
1526,190,"RL",70,13587,"Pave","None","Reg","Lvl","AllPub","Inside","Gtl","NAmes","Norm","Norm","2fmCon","1Story",5,5,1958,1958,"Gable","CompShg","MetalSd","MetalSd","None",0,"2","2","CBlock","2","2","2","Rec",532,"Unf",0,456,988,"GasA","TA","Y","3",988,0,0,988,1,0,1,0,2,1,"2",5,"0",0,"-1","Attchd","1958","Unf",1,264,"2","2","2",0,0,0,0,0,0,"-1","None","None",0,4,2010,"WD","Abnorml",0,2,0,0,0,0,0,0,0
1527,30,"RL",65,7898,"Pave","None","Reg","Lvl","AllPub","Corner","Gtl","NAmes","Norm","Norm","1Fam","1Story",4,7,1920,1994,"Gable","CompShg","MetalSd","MetalSd","None",0,"2","2","BrkTil","2","2","0","Unf",0,"Unf",0,576,576,"GasA","Gd","Y","3",985,0,0,985,0,1,1,0,2,1,"2",4,"0",0,"-1","Detchd","1989","Unf",2,676,"2","2","0",0,0,0,0,0,0,"-1","None","None",0,4,2010,"WD","Normal",0,2,0,0,0,0,0,0,0
1528,50,"RL",60,8064,"Pave","None","Reg","Lvl","AllPub","Inside","Gtl","NAmes","Artery","Norm","1Fam","1.5Fin",6,8,1948,2004,"Gable","CompShg","WdShing","Wd Shng","None",0,"2","2","CBlock","2","2","0","ALQ",481,"Rec",174,161,816,"GasA","TA","Y","3",816,408,0,1224,1,0,1,0,3,1,"2",5,"0",0,"-1","Detchd","1950","Unf",1,280,"2","2","2",414,0,0,0,0,0,"-1","GdWo","None",0,5,2010,"WD","Normal",0,1,0,0,1,0,0,0,0
1529,20,"RL",81,7635,"Pave","None","IR1","Lvl","AllPub","Corner","Gtl","NAmes","Norm","Norm","1Fam","1Story",5,6,1960,1960,"Gable","CompShg","BrkFace","Wd Sdng","None",0,"2","2","CBlock","2","2","0","Rec",588,"LwQ",350,237,1175,"GasA","Ex","Y","3",1175,0,0,1175,0,0,1,1,3,1,"2",6,"0",0,"-1","Detchd","1960","RFn",2,484,"2","2","2",0,0,0,0,0,0,"-1","None","None",0,6,2010,"WD","Normal",0,2,0,0,0,0,0,0,0
1530,20,"RL",80,9760,"Pave","None","Reg","Lvl","AllPub","Inside","Mod","NAmes","Norm","Norm","1Fam","1Story",6,7,1963,1984,"Hip","CompShg","Wd Sdng","Wd Sdng","BrkFace",218,"2","2","CBlock","2","2","3","BLQ",717,"LwQ",263,415,1395,"GasA","TA","Y","3",1395,0,0,1395,1,0,1,0,2,1,"2",7,"1",1,"2","Attchd","1963","RFn",2,440,"2","2","2",657,0,113,0,240,0,"-1","None","None",0,5,2010,"WD","Normal",0,2,0,0,0,0,0,0,0
1531,50,"RM",60,4800,"Pave","None","Reg","Lvl","AllPub","Corner","Gtl","OldTown","Norm","Norm","1Fam","1.5Fin",4,5,1900,1954,"Hip","CompShg","Wd Sdng","Wd Sdng","BrkFace",771,"2","2","PConc","2","2","0","ALQ",48,"Unf",0,661,709,"GasA","TA","Y","3",1157,687,0,1844,1,0,1,0,3,1,"2",9,"2",2,"3","Basment","1900","Unf",1,240,"2","2","2",84,0,0,0,0,0,"-1","None","None",0,1,2010,"COD","Abnorml",0,2,0,0,0,0,0,0,0
1532,30,"RM",56,4485,"Pave","Grvl","Reg","Lvl","AllPub","Inside","Gtl","OldTown","Artery","Norm","1Fam","1Story",5,7,1920,1950,"Gable","CompShg","Wd Sdng","Wd Sdng","None",0,"2","2","PConc","2","2","0","BLQ",579,"Unf",0,357,936,"GasA","TA","Y","3",936,0,0,936,1,0,1,0,2,1,"2",5,"0",1,"3","None","None","None",0,0,"-1","-1","1",51,0,135,0,0,0,"-1","MnPrv","None",0,5,2010,"WD","Normal",0,1,0,0,1,0,0,0,0
1533,20,"RM",69,5805,"Pave","Grvl","Reg","Bnk","AllPub","Inside","Mod","OldTown","Norm","Norm","1Fam","1Story",5,7,1957,1957,"Hip","CompShg","MetalSd","MetalSd","None",0,"2","2","CBlock","2","2","1","BLQ",274,"Rec",1073,0,1347,"GasA","Gd","Y","3",1347,0,0,1347,1,1,1,0,3,1,"3",6,"0",0,"-1","Detchd","1957","Unf",2,551,"2","2","2",0,0,0,0,0,0,"-1","None","None",0,6,2010,"WD","Normal",0,2,0,0,0,0,0,0,0
1534,45,"RM",50,6900,"Pave","None","Reg","Lvl","AllPub","Corner","Gtl","OldTown","Norm","Norm","1Fam","1.5Fin",6,7,1938,2000,"Gable","CompShg","MetalSd","MetalSd","None",0,"2","2","PConc","3","2","0","Unf",0,"Unf",0,827,827,"GasA","Gd","Y","3",827,424,0,1251,0,0,1,0,3,1,"1",6,"0",0,"-1","Detchd","1938","Unf",1,240,"1","2","0",0,0,0,0,0,0,"-1","None","None",0,1,2010,"WD","Normal",0,2,0,0,0,0,0,0,0
1535,50,"RM",69,11851,"Pave","None","Reg","Lvl","AllPub","Inside","Gtl","OldTown","Artery","Norm","1Fam","1.5Fin",5,7,1948,2009,"Gable","CompShg","VinylSd","VinylSd","None",0,"2","3","BrkTil","2","2","0","BLQ",780,"Unf",0,247,1027,"GasA","Ex","Y","3",1027,606,0,1633,0,0,1,0,3,1,"3",7,"0",1,"3","Detchd","1948","Unf",1,240,"2","2","2",0,100,126,0,0,0,"-1","None","None",0,6,2010,"WD","Normal",0,1,0,0,1,0,0,0,0
1536,50,"RM",NA,8239,"Pave","None","Reg","Lvl","AllPub","Inside","Gtl","OldTown","Artery","Norm","1Fam","1.5Fin",5,6,1920,1962,"Gable","CompShg","MetalSd","MetalSd","None",0,"2","2","BrkTil","2","2","0","Rec",176,"Unf",0,832,1008,"GasA","TA","Y","3",1060,185,0,1245,0,0,1,0,3,1,"2",6,"0",0,"-1","Detchd","1962","Unf",1,315,"2","2","2",0,0,334,0,0,0,"-1","None","None",0,3,2010,"WD","Normal",0,1,0,0,1,0,0,0,0
1537,30,"RM",68,9656,"Pave","None","Reg","Lvl","AllPub","Inside","Gtl","OldTown","Norm","Norm","1Fam","1Story",2,2,1923,1970,"Gable","CompShg","AsbShng","AsbShng","None",0,"2","1","BrkTil","1","1","0","Unf",0,"Unf",0,678,678,"GasA","TA","N","3",832,0,0,832,0,0,1,0,2,1,"2",5,"0",1,"3","Detchd","1928","Unf",2,780,"1","1","0",0,0,0,0,0,0,"-1","None","None",0,6,2010,"WD","Abnorml",0,2,0,0,0,0,0,0,0
1538,70,"RM",60,9600,"Pave","Grvl","Reg","Lvl","AllPub","Corner","Gtl","OldTown","Norm","Norm","1Fam","2Story",8,9,1900,2003,"Gable","CompShg","Wd Sdng","Wd Sdng","None",0,"3","3","BrkTil","2","2","0","Unf",0,"Unf",0,930,930,"GasW","TA","N","3",930,636,0,1566,0,0,2,0,3,1,"3",7,"0",0,"-1","Detchd","1930","Unf",1,288,"2","2","2",54,228,246,0,0,0,"-1","None","None",0,4,2010,"WD","Abnorml",0,2,0,0,0,0,0,0,0
1539,70,"RM",50,9000,"Pave","Grvl","Reg","Lvl","AllPub","Inside","Gtl","OldTown","Norm","Norm","1Fam","2Story",8,9,1890,2002,"Gable","CompShg","Wd Sdng","Wd Sdng","None",0,"3","3","Stone","1","1","0","Unf",0,"Unf",0,346,346,"GasA","Ex","Y","3",1157,1111,0,2268,0,0,3,0,3,1,"3",7,"0",0,"-1","Detchd","2003","Unf",2,624,"2","2","0",0,108,0,0,0,0,"-1","None","None",0,4,2010,"WD","Normal",0,2,0,0,0,0,0,0,0
1540,190,"RM",100,9045,"Pave","None","Reg","Lvl","AllPub","Inside","Gtl","OldTown","Norm","Norm","2fmCon","2Story",5,3,1910,1950,"Gable","CompShg","MetalSd","MetalSd","None",0,"2","1","BrkTil","2","2","1","Unf",0,"Unf",0,840,840,"Grav","Fa","N","1",1128,1128,0,2256,0,0,2,0,4,2,"1",12,"0",0,"-1","None","None","None",0,0,"-1","-1","0",0,18,18,0,0,0,"-1","None","None",0,6,2010,"WD","Abnorml",0,2,0,0,0,0,0,0,0
1541,70,"RM",60,10560,"Pave","None","Reg","Lvl","AllPub","Inside","Gtl","OldTown","Norm","Norm","1Fam","2Story",6,7,1922,1994,"Gable","CompShg","Wd Sdng","Wd Sdng","None",0,"2","2","CBlock","1","2","0","Rec",283,"Unf",0,455,738,"GasA","Ex","Y","3",868,602,0,1470,0,0,1,1,2,1,"2",6,"1",0,"-1","Detchd","1970","Unf",2,624,"2","2","2",0,0,0,0,0,0,"-1","None","None",0,6,2010,"WD","Normal",0,2,0,0,0,0,0,0,0
1542,50,"RM",53,5830,"Pave","None","Reg","Lvl","AllPub","Corner","Gtl","BrkSide","Feedr","Feedr","1Fam","1.5Fin",5,6,1950,1997,"Gable","CompShg","MetalSd","MetalSd","None",0,"2","3","CBlock","2","2","0","Rec",788,"Unf",0,200,988,"GasA","Ex","Y","3",1030,582,0,1612,0,0,1,1,3,1,"2",7,"0",0,"-1","Detchd","1950","Unf",1,363,"2","2","2",0,0,0,0,0,0,"-1","MnPrv","None",0,3,2010,"WD","Normal",2,0,0,0,0,0,0,0,0
1543,75,"RL",NA,7793,"Pave","None","IR1","Bnk","AllPub","Corner","Gtl","BrkSide","Norm","Norm","1Fam","2.5Unf",7,7,1922,2005,"Gable","CompShg","Wd Sdng","Wd Sdng","None",0,"2","2","BrkTil","3","2","0","BLQ",474,"Unf",0,634,1108,"GasA","TA","N","2",1160,908,0,2068,0,0,1,1,3,1,"3",8,"0",1,"3","Detchd","1928","Unf",1,315,"2","2","2",0,0,60,0,0,0,"-1","None","None",0,5,2010,"WD","Normal",0,2,0,0,0,0,0,0,0
1544,30,"RM",50,5000,"Pave","None","Reg","Lvl","AllPub","Inside","Gtl","BrkSide","Feedr","Norm","1Fam","1Story",4,7,1925,1950,"Gable","CompShg","MetalSd","MetalSd","None",0,"2","2","BrkTil","2","2","0","Rec",188,"Unf",0,577,765,"GasA","TA","N","1",765,0,0,765,1,0,1,0,2,1,"3",4,"0",0,"-1","Detchd","1926","Unf",1,200,"1","2","1",135,0,41,0,0,0,"-1","MnPrv","None",0,4,2010,"WD","Normal",1,1,0,0,0,0,0,0,0
1545,50,"RM",50,6000,"Pave","None","Reg","Lvl","AllPub","Inside","Gtl","BrkSide","Norm","Norm","1Fam","1.5Fin",6,7,1939,1950,"Gable","CompShg","MetalSd","MetalSd","None",0,"2","2","BrkTil","2","3","0","BLQ",452,"LwQ",12,144,608,"GasA","TA","Y","3",608,524,0,1132,1,0,1,0,2,1,"2",5,"0",0,"-1","Detchd","1939","Unf",1,240,"2","2","2",0,0,128,0,0,0,"-1","MnPrv","None",0,4,2010,"WD","Abnorml",0,2,0,0,0,0,0,0,0
1546,50,"RM",50,6000,"Pave","None","Reg","Lvl","AllPub","Inside","Gtl","BrkSide","Norm","Norm","1Fam","1.5Fin",6,6,1940,1950,"Gable","CompShg","MetalSd","MetalSd","None",0,"2","3","CBlock","2","2","0","LwQ",264,"Unf",0,308,572,"GasA","Ex","Y","2",848,348,0,1196,0,1,1,1,3,1,"2",6,"0",2,"3","Detchd","1973","Unf",2,576,"2","2","2",0,0,0,0,0,0,"-1","None","None",0,3,2010,"WD","Normal",0,2,0,0,0,0,0,0,0
1547,50,"RM",53,6360,"Pave","None","Reg","Lvl","AllPub","Corner","Gtl","BrkSide","Feedr","Norm","1Fam","1.5Fin",5,6,1942,1950,"Gable","CompShg","MetalSd","MetalSd","Stone",300,"2","2","CBlock","2","2","0","Rec",360,"LwQ",159,316,835,"GasA","TA","Y","2",955,498,0,1453,0,0,1,1,3,1,"3",7,"2",2,"1","Detchd","1942","Unf",1,240,"2","2","2",0,0,35,0,148,0,"-1","None","None",0,3,2010,"WD","Normal",1,1,0,0,0,0,0,0,0
1548,50,"RM",50,6000,"Pave","None","Reg","Lvl","AllPub","Inside","Gtl","BrkSide","Norm","Norm","1Fam","1.5Fin",6,7,1948,1950,"Gable","CompShg","Wd Sdng","Wd Sdng","None",0,"2","2","CBlock","2","2","0","Rec",300,"Unf",0,480,780,"GasA","TA","Y","3",780,636,0,1416,0,0,1,1,3,1,"2",6,"0",0,"-1","Detchd","1948","Unf",1,312,"2","2","1",221,0,48,0,0,0,"-1","None","None",0,3,2010,"WD","Normal",0,2,0,0,0,0,0,0,0
1549,50,"RM",52,6240,"Pave","None","Reg","Lvl","AllPub","Inside","Gtl","BrkSide","Norm","Norm","1Fam","1.5Fin",5,7,1936,1980,"Gable","CompShg","VinylSd","VinylSd","None",0,"2","2","CBlock","2","1","0","Rec",276,"Unf",0,252,528,"GasA","Gd","Y","3",548,492,0,1040,0,0,1,0,2,1,"2",5,"0",0,"-1","Detchd","1979","Fin",2,624,"2","2","1",306,0,32,0,0,0,"-1","None","None",0,5,2010,"WD","Normal",0,2,0,0,0,0,0,0,0
1550,50,"RM",52,6240,"Pave","None","Reg","Lvl","AllPub","Inside","Gtl","BrkSide","Norm","Norm","1Fam","1.5Fin",5,5,1930,1950,"Gable","CompShg","MetalSd","MetalSd","None",0,"2","2","BrkTil","2","2","0","LwQ",448,"Unf",0,480,928,"GasA","TA","Y","1",928,608,0,1536,0,0,2,0,4,1,"2",7,"0",1,"3","Detchd","1930","Unf",2,480,"2","2","2",0,10,0,0,0,0,"-1","MnPrv","None",0,3,2010,"WD","Normal",0,2,0,0,0,0,0,0,0
1551,30,"RM",51,6120,"Pave","None","Reg","Lvl","AllPub","Inside","Gtl","OldTown","Artery","Norm","1Fam","1Story",6,5,1923,1950,"Gable","CompShg","Wd Sdng","Wd Sdng","None",0,"2","2","BrkTil","1","1","0","ALQ",960,"Unf",0,164,1124,"GasA","TA","Y","3",1068,0,0,1068,1,0,1,0,2,1,"2",5,"0",1,"3","Detchd","1923","Unf",1,288,"2","2","2",0,0,128,0,0,0,"-1","None","None",0,3,2010,"WD","Normal",0,1,0,0,1,0,0,0,0
1552,50,"RM",57,8094,"Pave","Grvl","Reg","Lvl","AllPub","Inside","Gtl","OldTown","Norm","Norm","1Fam","1.5Fin",4,5,1915,1950,"Gable","CompShg","MetalSd","MetalSd","None",0,"2","1","CBlock","2","2","0","Unf",0,"Unf",0,888,888,"GasA","Ex","Y","3",888,1074,0,1962,0,0,1,1,4,1,"2",9,"0",1,"2","Detchd","1915","Unf",2,572,"2","2","2",160,0,364,0,0,0,"-1","GdPrv","None",0,6,2010,"WD","Normal",0,2,0,0,0,0,0,0,0
1553,70,"RM",60,12900,"Pave","Grvl","Reg","Lvl","AllPub","Inside","Gtl","OldTown","Norm","Norm","1Fam","2Story",6,8,1912,2009,"Gable","CompShg","Wd Sdng","Wd Sdng","None",0,"3","3","PConc","2","2","0","Unf",0,"Unf",0,780,780,"GasA","Ex","Y","3",780,780,0,1560,0,0,1,1,3,1,"3",7,"0",0,"-1","None","None","None",0,0,"-1","-1","0",344,0,0,0,168,0,"-1","None","None",0,5,2010,"WD","Normal",0,2,0,0,0,0,0,0,0
1554,70,"RM",52,3068,"Pave","Grvl","Reg","Lvl","AllPub","Inside","Gtl","OldTown","Norm","Norm","1Fam","2Story",6,8,1920,1993,"Gable","CompShg","VinylSd","VinylSd","None",0,"2","3","BrkTil","2","2","0","Unf",0,"Unf",0,662,662,"GasA","Ex","Y","3",662,662,0,1324,0,1,1,0,3,1,"2",6,"0",0,"-1","Detchd","1920","Unf",1,180,"2","2","2",0,0,112,0,0,0,"-1","GdPrv","None",0,2,2010,"WD","Normal",0,2,0,0,0,0,0,0,0
1555,20,"RL",100,15263,"Pave","None","IR1","Lvl","AllPub","Inside","Gtl","ClearCr","Feedr","Norm","1Fam","1Story",5,5,1959,1959,"Gable","CompShg","HdBoard","HdBoard","BrkFace",90,"2","2","CBlock","3","2","0","Rec",766,"Unf",0,656,1422,"GasA","Gd","Y","3",1675,0,0,1675,0,0,2,0,3,1,"2",8,"0",2,"3","Attchd","1959","Unf",1,365,"2","2","2",0,132,0,0,0,0,"-1","None","None",0,5,2010,"WD","Normal",1,1,0,0,0,0,0,0,0
1556,50,"RL",72,10632,"Pave","None","IR1","Lvl","AllPub","Inside","Gtl","ClearCr","Norm","Norm","1Fam","1.5Fin",5,3,1917,1950,"Gable","CompShg","Wd Sdng","Wd Sdng","None",0,"2","2","BrkTil","3","1","0","Unf",0,"Unf",0,689,689,"GasA","Gd","N","3",725,499,0,1224,0,0,1,1,3,1,NA,6,"3",0,"-1","Detchd","1917","Unf",1,180,"1","1","0",0,0,248,0,0,0,"-1","None","None",0,1,2010,"COD","Normal",0,2,0,0,0,0,0,0,0
1557,190,"RL",60,9900,"Pave","None","Reg","Lvl","AllPub","Inside","Gtl","SWISU","Norm","Norm","2fmCon","1.5Fin",5,4,1915,1950,"Gable","CompShg","Wd Sdng","Wd Shng","None",0,"1","1","BrkTil","2","2","0","Rec",1026,"Unf",0,186,1212,"GasA","TA","N","3",1212,180,0,1392,1,0,1,0,3,1,"2",6,"0",0,"-1","None","None","None",0,0,"-1","-1","0",0,0,168,0,0,0,"-1","None","None",0,2,2010,"ConLD","Normal",0,2,0,0,0,0,0,0,0
1558,50,"RL",65,6001,"Pave","None","IR1","Bnk","AllPub","Inside","Mod","SWISU","Norm","Norm","1Fam","1.5Fin",6,5,1940,1950,"Gable","CompShg","VinylSd","VinylSd","None",0,"2","2","CBlock","1","2","0","LwQ",368,"Unf",0,232,600,"GasA","Ex","N","3",600,319,0,919,0,0,1,0,3,1,"2",5,"0",0,"-1","Detchd","1940","Unf",1,231,"2","2","2",0,0,45,0,0,0,"-1","MnPrv","None",0,3,2010,"WD","Normal",0,2,0,0,0,0,0,0,0
